title,label
"Hội thảo khoa học về sức mạnh chính trị, tinh thần trong Đại thắng mùa Xuân 1975",Chính trị
"""Sáp nhập tỉnh dự kiến hoàn thành trước ngày 30/8 để vận hành từ 1/9""",Chính trị
Chủ tịch Quốc hội làm việc với Ban Thường vụ Tỉnh ủy Tuyên Quang,Chính trị
Thủ tướng chủ trì Phiên họp thứ nhất BCĐ của Chính phủ về phát triển KHCN,Chính trị
Ông Nguyễn Mạnh Hùng giữ chức Bí thư Tỉnh ủy Tây Ninh,Chính trị
Bắc Ninh tạm dừng đề án thành lập thành phố trực thuộc Trung ương,Chính trị
Hướng tới Đại hội XIV của Đảng: Công tác nhân sự phải được tiến hành chặt chẽ,Chính trị
Tinh gọn bộ máy để quyết định Việt Nam có vươn tới hùng cường hay không,Chính trị
Phó Thủ tướng Nguyễn Hòa Bình gặp Phó Thủ tướng Anh Angela Rayner,Chính trị
Hợp tác quốc phòng là trụ cột quan trọng trong quan hệ hợp tác Việt Nam - Campuchia,Chính trị
Phó Chánh Văn phòng UBND tỉnh Quảng Trị bị cách chức tất cả các chức vụ trong Đảng,Chính trị
Đại sứ Nguyễn Minh Vũ chào xã giao Lãnh cấp cao Đảng Nhân dân Campuchia,Chính trị
Chủ tịch UBND TP.HCM chỉ đạo khẩn về tinh gọn bộ máy,Chính trị
Phó Thủ tướng Nguyễn Chí Dũng tiếp Thị trưởng thành phố Ninh Ba,Chính trị
Đoàn Kiểm tra của Bộ Chính trị làm việc với Ban Thường vụ Tỉnh ủy Bắc Ninh,Chính trị
Tổng Bí thư Tô Lâm tiếp đoàn doanh nghiệp Hội đồng Kinh doanh Hoa Kỳ - ASEAN,Chính trị
"Phó Chủ tịch Quốc hội Nguyễn Thị Thanh thăm bang California, Mỹ",Chính trị
"Phối hợp tháo gỡ khó khăn khi sắp xếp bộ máy, điều chỉnh địa giới hành chính",Chính trị
Chủ tịch nước chủ trì hội nghị thông qua báo cáo của Đoàn kiểm tra 1907,Chính trị
"Bộ Tư pháp: ""Trợ lý ảo rà soát văn bản quy phạm pháp luật đã được kết nối""",Chính trị
"Bộ Công an: Sử dụng giấy tờ điện tử tích hợp, không yêu cầu sao y, công chứng",Chính trị
Đoàn kiểm tra của Bộ Chính trị công bố dự thảo báo cáo kiểm tra tại 4 tỉnh,Chính trị
Thủ tướng chỉ đạo đẩy nhanh tiến độ dự án cao tốc Châu Đốc - Cần Thơ - Sóc Trăng,Chính trị
Chủ tịch Quốc hội dâng hương tại Khu Di tích lịch sử quốc gia đặc biệt Tân Trào,Chính trị
Bình Dương công bố các quyết định về công tác cán bộ,Chính trị
"Bỏ cấp huyện: Công chức cấp xã cũng là công chức cấp tỉnh, trung ương",Chính trị
"Không để sắp xếp, tinh gọn bộ máy làm gián đoạn công việc",Chính trị
Phó Thủ tướng Nguyễn Hòa Bình gặp Thứ trưởng Bộ Tài chính Vương quốc Anh,Chính trị
"Thủ tướng yêu cầu đẩy mạnh phòng, chống lãng phí, khơi thông nguồn lực",Chính trị
Phó Chủ tịch Quốc hội Nguyễn Đức Hải hội kiến Chủ tịch Hạ viện Ấn Độ Om Birla,Chính trị
"Phó Thủ tướng Nguyễn Hòa Bình tham dự Tọa đàm doanh nghiệp FDI tại thủ đô London, Anh",Chính trị
Phó Thủ tướng Nguyễn Hòa Bình tiếp nguyên Thủ tướng Vương Quốc Anh Tony Blair,Chính trị
Phó Thủ tướng Nguyễn Hòa Bình làm việc với Phó Thị trưởng Trung tâm Tài chính London,Chính trị
Chính quyền địa phương 2 cấp: Cấp tỉnh kết nối với cấp xã thế nào?,Chính trị
"Trong Chiến dịch Hồ Chí Minh, các quân đoàn chủ lực như “thác đổ, triều dâng”",Chính trị
Thông qua Dự thảo Báo cáo kết quả kiểm tra đối với Quân ủy Trung ương,Chính trị
Phó Thủ tướng Lê Thành Long trao quyết định bổ nhiệm Thứ trưởng Bộ Tư pháp,Chính trị
Chính thức bổ sung đối tượng được hưởng chế độ theo Nghị định 178,Chính trị
Tăng cường hợp tác giữa kiểm toán nhà nước Việt Nam và Trung Quốc,Chính trị
"Thông qua Dự thảo báo cáo kiểm tra đối với Đảng ủy Quốc hội, Đảng ủy Chính phủ",Chính trị
Phu nhân Chủ tịch Quốc hội tiếp Nhóm Phụ nữ Cộng đồng ASEAN,Chính trị
Tổng Bí thư Tô Lâm: Giải quyết dứt điểm các vụ việc khiếu kiện vượt cấp kéo dài,Chính trị
Phát triển kinh tế tư nhân – Đòn bẩy cho một Việt Nam thịnh vượng,Chính trị
Gia Lai long trọng kỷ niệm 50 năm Ngày giải phóng,Chính trị
Báo cáo KT-XH phải là cẩm nang hành động trong cả hệ thống chính trị,Chính trị
"Việt Nam sẵn sàng đóng vai trò đầu cầu, kết nối các nước với khu vực Đông Nam Á",Chính trị
Chuẩn y Chủ tịch MTTQ tỉnh Nghệ An giữ chức Phó Bí thư Tỉnh ủy,Chính trị
Chủ tịch nước Lương Cường tiếp Đại sứ các nước trình Quốc thư,Chính trị
Chủ tịch Quốc hội: Tinh gọn bộ máy để dành nguồn lực cho đầu tư phát triển,Chính trị
"Bí thư Thành ủy TPHCM: Sắp xếp bộ máy, người đứng đầu phải dũng cảm, quyết liệt",Chính trị
"Ông Trần Cẩm Tú: Nâng tầm tư duy, đột phá mới trong nhận thức lý luận của Đảng",Chính trị
Đề xuất bổ sung đối tượng hưởng chính sách nghỉ hưu trước tuổi để sắp xếp bộ máy,Chính trị
Tổng Bí thư: Mục tiêu bao trùm của Đại hội XIV là quyết định những vấn đề chiến lược,Chính trị
"Sau sáp nhập xã: Đặt tên đường, đánh số nhà để làng quê tiệm cận đô thị hóa",Chính trị
Chủ tịch Quốc hội chủ trì phiên họp chuẩn bị cho công tác bầu cử ĐBQH khóa XVI,Chính trị
95 năm Đảng bộ Hà Nội - Đảng bộ tiên phong,Chính trị
Cán bộ thế nào khi cấp xã “gần như một huyện thu nhỏ”?,Chính trị
"Căn cứ Khu Lê ở Bình Thuận: 50 năm chuyển mình từ ""bom cày đạn xới""",Chính trị
Kon Tum long trọng kỷ niệm 50 năm ngày giải phóng,Chính trị
Thủ tướng Phạm Minh Chính làm việc với Ban Thường vụ Tỉnh ủy Vĩnh Phúc,Chính trị
Đoàn kiểm tra của Bộ Chính trị công bố dự thảo báo cáo kiểm tra tại Đắk Lắk,Chính trị
Bộ Nội vụ đề xuất cấp bù chế độ cho cán bộ khi tinh gọn bộ máy,Chính trị
Thủ tướng làm trưởng ban chỉ đạo các công trình trọng điểm đường sắt,Chính trị
Thủ tướng dự khởi công dự án nhà ở xã hội hơn 7.000 tỷ đồng tại Vĩnh Phúc,Chính trị
